merchant_id,period,district_id,mcc,period_revenue,period_transaction_count,period_distinct_customers,POI_count,POI_diversity,merchant_district_mean_household_income,revenue_change,transaction_change,customer_change,mcc_median_revenue_change,mcc_median_transaction_change,mcc_median_customer_change,customer_age_mean,customer_age_median,customer_income_mean,customer_income_median,customer_gender_entropy,number_of_customer_work_districts,customer_work_district_entropy,number_of_customer_home_districts,customer_home_district_entropy,customer_job_type_entropy,customer_education_entropy,customer_marital_status_entropy,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector__centrality,merchant_district_population,merchant_ego_net_mcc_entropy,merchant_ego_net_geo_entropy,revenue_label,transaction_label,customer_label,sum_labels,performance_label
514,1,4,5691,26957.11,372,259,48,1.366698438,6577,-0.032306505,-0.059139785,0.030888031,-0.033028781,-0.022058824,-0.013157895,38.11969112,37,3243.265135,2200,0.693139527,26,2.439071614,18,1.775419509,0.990484881,1.410643545,0.768681803,498,1865.730494,0.000262605,0.101058296,423372,0.968288398,1.861322513,1,0,1,2,medium-performing
515,1,60,5691,10471.72,151,105,245,1.689394106,3671,-0.073948692,-0.158940397,-0.114285714,-0.033028781,-0.022058824,-0.013157895,37.8,37,1944.282095,1573,0.679982535,18,2.004795372,12,1.311901707,0.871835755,1.537403344,0.897148485,214,756.4166293,0.000254777,0.005848812,243474,0.944386153,2.00300159,0,0,0,0,poorly-performing
516,1,17,5411,2235,64,1,113,1.97803454,4773,-0.033333333,0.109375,2,0.177622795,0.10140376,0.055555556,49,49,1000,1000,-1.00E-07,1,-1.00E-07,1,-1.00E-07,-1.00E-07,-1.00E-07,-1.00E-07,2,0.066666667,0.000172236,6.05E-06,236606,-1.00E-07,-1.00E-07,0,1,1,2,medium-performing
517,1,4,5691,3947.47,96,83,28,1.429500551,6577,0.205361915,-0.010416667,-0.024096386,-0.033028781,-0.022058824,-0.013157895,36.68674699,36,3022.108434,2500,0.522914333,15,2.148212432,13,1.809851035,0.786531448,1.347812722,0.881126531,321,1325.39017,0.000258866,0.037516877,423372,0.835113471,1.867048832,1,1,0,2,medium-performing
518,1,59,5541,68852.51,908,236,43,1.093434399,7308,-0.60255494,-0.529735683,-0.440677966,-0.094470234,-0.058823529,-0.076923077,39.96610169,39,2987.662415,2000,0.404655489,24,2.008237158,22,1.411322068,0.836020351,1.312463718,0.712289175,471,2663.343163,0.000266454,0.035195206,344876,1.05948057,2.31707856,0,0,0,0,poorly-performing
519,1,96,5411,1944.99,76,18,52,1.529513974,4120,-0.23199091,-0.184210526,0.166666667,0.177622795,0.10140376,0.055555556,40.38888889,39,2351.111111,1585,0.668248278,9,1.846051615,3,0.425848149,1.270958007,1.522954468,0.760754859,56,29.19440717,0.000232666,0.003123928,463433,1.092140971,1.805848445,0,0,1,1,medium-performing
520,1,82,5691,20181.94,290,230,36,0.378387007,4670,-0.07647134,0.044827586,-0.02173913,-0.033028781,-0.022058824,-0.013157895,37.40869565,37,2356.58687,1750.5,0.610864102,29,2.67561834,15,1.513691054,0.987338638,1.368911189,0.741595999,386,1921.252781,0.00026137,0.019403359,381114,1.042051567,2.049706184,0,1,0,1,medium-performing
521,1,82,5691,22178.64,316,234,144,1.217194289,4670,-0.168287145,-0.056962025,-0.098290598,-0.033028781,-0.022058824,-0.013157895,37.23076923,36,2787.131496,2000,0.671958106,31,2.776048905,18,1.595986039,0.914876525,1.404703905,0.726378727,435,1721.182107,0.000263783,0.026146882,381114,0.985005157,2.178466976,0,0,0,0,poorly-performing
522,1,115,5691,7316.32,120,88,457,1.310608815,7822,0.065193977,0.266666667,0.204545455,-0.033028781,-0.022058824,-0.013157895,36.19318182,35,3067.314432,2000,0.61653092,19,1.673828799,24,2.567753819,0.738744719,1.245021084,0.924503623,310,1192.213621,0.000261643,0.0137723,274196,0.831493582,2.11436382,1,1,1,3,well-performing
523,1,65,5411,1698.38,64,16,22,1.225238925,3055,-0.139845029,-0.046875,-0.125,0.177622795,0.10140376,0.055555556,37.125,36.5,2820.40625,2000,0.685314007,11,2.252727237,5,1.299650464,0.822264937,1.331659787,0.463413259,48,50.85937987,0.000240964,0.00124693,698260,0.993488958,1.983138691,0,0,0,0,poorly-performing
524,1,82,5691,10912.51,135,111,144,1.217194289,4670,-0.281856328,-0.118518519,-0.207207207,-0.033028781,-0.022058824,-0.013157895,35.53153153,33,2763.216216,2000,0.692781706,23,2.560249957,14,1.851800093,0.758758235,1.423083883,1.002561337,298,858.9304941,0.000259,0.012352562,381114,0.841791955,2.304359881,0,0,0,0,poorly-performing
525,1,82,5691,9410.04,97,82,144,1.217194289,4670,-0.407006771,-0.24742268,-0.231707317,-0.033028781,-0.022058824,-0.013157895,36.52439024,34.5,2650.512195,2050,0.68838033,25,2.82265721,18,2.159385728,0.920320233,1.503299752,0.842501628,290,1118.80991,0.000259943,0.011866773,381114,0.840366751,2.401013461,0,0,0,0,poorly-performing
526,1,82,5691,6105.05,84,69,144,1.217194289,4670,0.442379669,0.238095238,0.130434783,-0.033028781,-0.022058824,-0.013157895,37.44927536,35,2370.869565,2000,0.66248145,22,2.805838721,13,1.775905572,1.030526776,1.366504666,0.881898345,236,522.7356885,0.000257467,0.009111752,381114,0.835062362,2.256295828,1,1,1,3,well-performing
